gc 72 @2.566s 3%: 0.026+0.093+0.021 ms clock, 0.10+0/0.075/0.18+0.086 ms cpu, 10->10->0 MB, 17 MB goal, 4 P (forced)
gc 73 @2.653s 3%: 0.015+5.6+1.6 ms clock, 0.061+0.25/5.3/10+6.6 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 74 @2.708s 3%: 0.011+7.8+0.066 ms clock, 0.044+0.22/7.8/14+0.26 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 75 @2.778s 3%: 0.027+0.099+0.017 ms clock, 0.10+0/0.087/0.17+0.070 ms cpu, 10->10->0 MB, 16 MB goal, 4 P (forced)
gc 76 @2.820s 3%: 0.010+4.1+0.032 ms clock, 0.043+0.22/4.1/4.5+0.12 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 77 @2.872s 3%: 0.011+8.1+0.028 ms clock, 0.047+0.21/8.0/13+0.11 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 78 @2.948s 3%: 0.021+0.25+0.12 ms clock, 0.084+0/0.15/0.14+0.48 ms cpu, 10->10->0 MB, 16 MB goal, 4 P (forced)
gc 79 @2.987s 3%: 0.010+4.3+0.063 ms clock, 0.040+0.12/4.3/5.7+0.25 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 80 @3.039s 3%: 0.011+8.3+0.065 ms clock, 0.047+0.24/8.2/13+0.26 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 81 @3.109s 3%: 0.026+0.12+0.054 ms clock, 0.10+0/0.086/0.14+0.21 ms cpu, 10->10->0 MB, 16 MB goal, 4 P (forced)
gc 82 @3.172s 3%: 0.010+3.7+0.021 ms clock, 0.043+0.22/3.7/5.9+0.086 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 83 @3.223s 3%: 0.010+8.2+0.025 ms clock, 0.040+0.22/8.1/15+0.10 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 84 @3.294s 2%: 0.015+0.11+0.032 ms clock, 0.063+0/0.088/0.18+0.12 ms cpu, 10->10->0 MB, 16 MB goal, 4 P (forced)
gc 85 @3.333s 2%: 0.009+4.9+0.033 ms clock, 0.038+0.22/4.9/1.2+0.13 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 86 @3.395s 3%: 0.010+8.4+0.064 ms clock, 0.042+0.23/8.4/14+0.25 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 87 @3.468s 2%: 0.007+0.10+0.023 ms clock, 0.029+0/0.091/0.16+0.093 ms cpu, 10->10->0 MB, 16 MB goal, 4 P (forced)
gc 88 @3.509s 2%: 0.010+4.4+0.063 ms clock, 0.041+0.22/4.2/5.6+0.25 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 89 @3.593s 2%: 0.011+7.8+0.11 ms clock, 0.046+0.24/7.7/14+0.44 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 90 @3.670s 2%: 0.028+0.11+0.041 ms clock, 0.11+0/0.084/0.14+0.16 ms cpu, 10->10->0 MB, 16 MB goal, 4 P (forced)
gc 91 @3.708s 2%: 0.009+4.3+0.024 ms clock, 0.037+0.23/4.2/3.6+0.099 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 92 @3.774s 2%: 0.012+8.7+0.028 ms clock, 0.049+0.24/8.6/11+0.11 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 93 @3.845s 2%: 0.008+0.17+0.11 ms clock, 0.032+0/0.063/0.21+0.45 ms cpu, 10->10->0 MB, 16 MB goal, 4 P (forced)
gc 94 @3.883s 2%: 0.009+5.6+0.063 ms clock, 0.039+0.24/5.5/4.0+0.25 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 95 @3.939s 2%: 0.011+12+0.027 ms clock, 0.046+0.23/10/14+0.10 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 96 @4.011s 2%: 0.008+0.12+0.022 ms clock, 0.032+0/0.093/0.15+0.091 ms cpu, 10->10->0 MB, 17 MB goal, 4 P (forced)
gc 97 @4.047s 2%: 0.009+3.6+0.021 ms clock, 0.038+0.23/3.6/6.3+0.086 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 98 @4.101s 2%: 0.010+7.3+0.18 ms clock, 0.042+0.23/7.3/14+0.72 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 99 @4.171s 2%: 0.026+0.098+0.021 ms clock, 0.10+0/0.073/0.18+0.084 ms cpu, 10->10->0 MB, 16 MB goal, 4 P (forced)
gc 100 @4.214s 2%: 0.009+3.6+0.024 ms clock, 0.037+0.21/3.6/5.8+0.099 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 101 @4.264s 2%: 0.011+10+0.099 ms clock, 0.045+0.22/10/10+0.39 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 102 @4.339s 2%: 0.008+0.20+0.13 ms clock, 0.035+0/0.065/0.22+0.55 ms cpu, 10->10->0 MB, 16 MB goal, 4 P (forced)
gc 103 @4.378s 2%: 0.009+5.1+0.023 ms clock, 0.036+0.13/5.1/5.5+0.094 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 104 @4.430s 2%: 0.010+11+0.081 ms clock, 0.040+0.23/11/20+0.32 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 105 @4.502s 2%: 0.007+0.13+0.083 ms clock, 0.029+0/0.12/0.15+0.33 ms cpu, 10->10->0 MB, 17 MB goal, 4 P (forced)
gc 106 @4.540s 2%: 0.010+3.5+0.025 ms clock, 0.041+0.22/3.5/6.4+0.10 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 107 @4.590s 2%: 0.010+7.8+0.017 ms clock, 0.040+0.20/7.8/14+0.070 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
  100000	       554 ns/op	      16 B/op	       1 allocs/op
gc 108 @4.664s 2%: 0.006+0.12+0.022 ms clock, 0.026+0/0.098/0.086+0.091 ms cpu, 10->10->0 MB, 16 MB goal, 4 P (forced)
gc 109 @4.703s 2%: 0.010+3.5+0.023 ms clock, 0.042+0.21/3.5/6.2+0.094 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 110 @4.754s 2%: 0.011+10+0.088 ms clock, 0.046+0.22/10/12+0.35 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
BenchmarkSetNext1E5-4                                 	gc 111 @4.784s 2%: 0.020+0.12+0.030 ms clock, 0.080+0/0.093/0.090+0.12 ms cpu, 9->9->0 MB, 16 MB goal, 4 P (forced)
gc 112 @4.822s 2%: 0.010+3.6+0.021 ms clock, 0.043+0.24/3.5/6.3+0.086 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 113 @4.873s 2%: 0.011+8.7+0.022 ms clock, 0.045+0.21/8.6/16+0.088 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 114 @4.904s 2%: 0.018+0.16+0.096 ms clock, 0.073+0/0.083/0.14+0.38 ms cpu, 9->9->0 MB, 16 MB goal, 4 P (forced)
gc 115 @4.950s 2%: 0.013+5.7+0.061 ms clock, 0.054+0.14/5.3/5.4+0.24 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 116 @5.016s 2%: 0.012+8.0+0.74 ms clock, 0.050+0.22/7.9/15+2.9 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 117 @5.051s 2%: 0.008+0.12+0.045 ms clock, 0.035+0/0.097/0.18+0.18 ms cpu, 9->9->0 MB, 16 MB goal, 4 P (forced)
gc 118 @5.094s 2%: 0.011+4.7+0.50 ms clock, 0.045+0.22/4.7/4.5+2.0 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 119 @5.156s 2%: 0.026+10+0.065 ms clock, 0.10+0.26/10/15+0.26 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 120 @5.190s 2%: 0.023+0.13+0.027 ms clock, 0.094+0/0.11/0.18+0.11 ms cpu, 9->9->0 MB, 16 MB goal, 4 P (forced)
gc 121 @5.229s 2%: 0.009+4.1+0.10 ms clock, 0.039+0.24/4.0/6.0+0.41 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 122 @5.283s 2%: 0.010+9.8+0.068 ms clock, 0.043+0.23/9.8/13+0.27 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 123 @5.313s 2%: 0.010+0.10+0.022 ms clock, 0.041+0/0.079/0.17+0.090 ms cpu, 9->9->0 MB, 16 MB goal, 4 P (forced)
gc 124 @5.351s 2%: 0.009+5.3+0.034 ms clock, 0.038+0.13/5.3/3.4+0.13 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 125 @5.405s 2%: 0.011+13+0.035 ms clock, 0.044+0.22/13/1.7+0.14 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 126 @5.435s 2%: 0.025+0.11+0.023 ms clock, 0.10+0/0.084/0.12+0.093 ms cpu, 9->9->0 MB, 17 MB goal, 4 P (forced)
gc 127 @5.474s 2%: 0.011+3.8+0.085 ms clock, 0.044+0.21/3.8/5.5+0.34 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 128 @5.524s 2%: 0.010+11+0.046 ms clock, 0.040+0.22/10/10+0.18 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 129 @5.555s 2%: 0.008+0.10+0.017 ms clock, 0.032+0/0.075/0.17+0.070 ms cpu, 9->9->0 MB, 16 MB goal, 4 P (forced)
gc 130 @5.594s 2%: 0.012+5.2+0.038 ms clock, 0.049+0.14/5.2/3.2+0.15 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 131 @5.647s 2%: 0.010+13+0.027 ms clock, 0.043+0.23/13/13+0.10 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
